inscricao;data_abertura;email;telefone;nome_empresarial;nome_fantasia;logradouro;numero;complemento;cep;bairro;municipio;uf;cod_cnae;descricao_cnae;cod_natureza;descricao_natureza;endereco_completo;latitude;longitude
01694415000175;1997-05-03;HASTE.DIRECAO@GMAIL.COM;084 2060860 084 204154;HASTE - HABITACAO E SERVICOS TECNICOS LTDA;HASTE - HABITACAO E SERVICOS TECNICOS;R CEL LUCIANO SALDANHA;1923;;        ;MIRASSOL;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;R. Cel. Luciano Saldanha, 1923 - Capim Macio, Natal - RN, 59078-390, Brazil;-5.8492884;-35.2033538
40938508000150;1991-01-09;;83  32433038 ;MAQ-LAREM MAQUINAS MOVEIS E EQUIPAMENTOS LTDA;;AV EPITACIO PESSOA;2580;LOJA: 01;        ;TAMBAUZINHO;JOÃO PESSOA;PB;77331;Aluguel de máquinas e equipamentos para escritório;2062;Sociedade Empresária Limitada;Moriah Shopping - Av. Epitacio Pessoa, 2580 - 01 - Tambauzinho, João Pessoa - PB, 58042-006, Brazil;-7.119932599999999;-34.8470985
40794497000181;1992-09-09;DIRETRONICA@GMAIL.COM;84  32066036 ;DIRETRONICA SERVICOS ELETRONICOS LTDA;DIRETRONICA;R RIO MEARIM;7702;;        ;PITIMBU;NATAL;RN;80200;Atividades de monitoramento de sistemas de segurança;2062;Sociedade Empresária Limitada;R. Rio Mearim, 7702 - Pitimbú, Natal - RN, 59068-410, Brazil;-5.8576438;-35.235258
08451643000163;1978-01-08;saae.extremoz.rn@gmail.com;84  32793256 ;SERVICO AUTONOMO DE AGUA E ESGOTO;SAAE;R PROJETADA;S/N;;        ;CENTRO;EXTREMOZ;RN;00000;Sem informação;1120;Autarquia Municipal;Rua da Lina do Trem, s/n Centro,, RN, Brazil;-5.709007499999999;-35.3052962
01592035000120;1996-12-17;SECNATAL@SECNATAL.COM.BR;84  32119525 ;SEC/NATAL DISTRIBUIDORA DE JORNAIS E PUBLICACOES LTDA;SEC NATAL;AV PRUDENTE DE MORAIS;744;SALA 1110;        ;TIROL;NATAL;RN;47610;Comércio varejista de livros, jornais, revistas e papelaria;2062;Sociedade Empresária Limitada;Av. Prudente de Morais, 744 - 1110 - Tirol, Natal - RN, 59075-000, Brazil;-5.826785699999999;-35.2129579
33000118000179;1966-09-26;;21  93336398 ;TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL;OI;R DO LAVRADIO;71;ANDAR 2;        ;CENTRO;RIO DE JANEIRO;RJ;61108;Telecomunicações por fio;2054;Sociedade Anônima Fechada;R. do Lavradio, 71 - ANDAR 2 - Centro, Rio de Janeiro - RJ, 20230-070, Brazil;-22.9091342;-43.1827939
40432544000147;1992-04-23;ATENDIMENTO.FISCALIZACOES@CLARO.COM.BR;11  43134620 11  55096705;CLARO S.A.;CLARO;R HENRI DUNANT;780;TORRE A E TORRE B;        ;SANTO AMARO;SÃO PAULO;SP;61205;Telecomunicações sem fio;2054;Sociedade Anônima Fechada;R. Henri Dunant, 846 - Santo Amaro, São Paulo - SP, 04709-111, Brazil;-23.6273834;-46.699121
12967719000185;2010-02-12;FINANCEIRO@LEPIDUS.COM.BR;48  31810048 ;LEPIDUS TECNOLOGIA LTDA;LEPIDUS;AV DESEMBARGADOR VITOR LIMA;260;SALA  908;        ;TRINDADE;FLORIANÓPOLIS;SC;62023;Desenvolvimento e licenciamento de programas de computador customizáveis;2062;Sociedade Empresária Limitada;R. Des. Vítor Lima, 260 - 908 - Trindade, Florianópolis - SC, 88040-401, Brazil;-27.596754;-48.5223569
43448117000145;1972-09-29;www.secfigueiredo.com.br;11  50831929 11  50833727;SEC FIGUEIREDO LTDA;;R ESTELA;515;BL.H   3 A. CJ 31;        ;PARAISO;SÃO PAULO;SP;52508;Atividades relacionadas à organização do transporte de carga;2062;Sociedade Empresária Limitada;R. Estela, 515 - BL.H   3 A - Vila Mariana, São Paulo - SP, 04011-002, Brazil;-23.5788732;-46.6456289
74634767000109;1994-04-26;ANABIM@ANABIM.COM.BR;11  32622128 ;ANABIM ASSESSORIA NACIONAL EM GESTAO PUBLICA E MEIO AMBIENTE LTDA;ANABIM;R CONSELHEIRO CRISPINIANO;69;CONJ  62/63;        ;REPUBLICA;SÃO PAULO;SP;86305;Atividades de atenção ambulatorial executadas por médicos e odontólogos;2240;Sociedade Simples Limitada;R. Conselheiro Crispiniano, 69 - CONJ  62/63 - República, São Paulo - SP, 01037-001, Brazil;-23.5462608;-46.640189
24198681000102;1989-03-05;; ;ARPLAN ENGENHARIA TERMICA LTDA;ARPLAN ENGENHARIA TERMICA;R DA SAUDADE;1313;;        ;NOVA DESCOBERTA;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;R. da Saudade, 1313 - Nova Descoberta, Natal - RN, 59056-400, Brazil;-5.823968600000001;-35.1975977
08520389000108;1971-03-19;; ;SERVICO AUTONOMO DE AGUA E ESGOTO;SAAE;AV RIO BRANCO;609;;        ;CENTRO;SANTA CRUZ;RN;00000;Sem informação;1031;Órgão Público do Poder Executivo Municipal;Avenida Rio Branco, 609, Santa Cruz - RN, 59200-000, Brazil;-6.2245244;-36.0208014
08519304000171;2006-11-12;;84  32223336 ;MFMB ELETROCEL GRUPOS GERADORES LTDA;ELETROCEL;R AURELIO PINHEIRO;456;A;        ;BARRO VERMELHO;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;R. Aurélio Pinheiro, 456 - Barro Vermelho, Natal - RN, 59030-410, Brazil;-5.797426499999999;-35.2119311
19180241000198;2013-10-16;TALDI@TALDI.COM.BR;84  33167169 84  9135678;TALDI INCORPORACOES LTDA;TALDI INCORPORACOES;AV FRANCISCO MOTA;SN;SALA  01;        ;RINCAO;MOSSORÓ;RN;47423;Comércio varejista de material elétrico;2062;Sociedade Empresária Limitada;Av. Francisco Mota - Rincão, Mossoró - RN, Brazil;-5.195348099999999;-37.3154195
08334385000135;1969-05-12;; ;COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE;;AV SENADOR SALGADO FILHO;1555;;        ;TIROL;NATAL;RN;00000;Sem informação;2038;Sociedade de Economia Mista;Av. Sen. Salgado Filho, 1555 - Candelária, Natal - RN, 59022-260, Brazil;-5.8089771;-35.2034974
16858290000149;2012-12-09;SUPORTELEVADORES@HOTMAIL.COM;84  33221773 84  87274949;SUPORTE - COMERCIO E SERVICOS EM ELEVADORES LTDA;SUPORTE ELEVADORES;R JACAUNA;1;ANEXO C;        ;LAGOA SECA;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;A - R. Jacaúna, 1 - Lagoa Seca, Natal - RN, 59022-360, Brazil;-5.8097594;-35.2074703
19395315000103;2013-10-12;2MCONTABILIDADERN@GMAIL.COM;84  20300388 ;E B GALVAO;RN ELEVADORES;R JOSE PORPINO DA SILVA;186;;        ;ROSA DOS VENTOS;PARNAMIRIM;RN;00000;Sem informação;2135;Empresário (Individual);R. José Porpino da Silva, 186 - Rosa dos Ventos, Parnamirim - RN, 59141-510, Brazil;-5.928007;-35.278754
03159145000128;1999-04-19;TRIBUTOS@LSCONTABIL.COM.BR;84  32061064 ;S.S. EMPREENDIMENTOS E SERVICOS EIRELI;SERVITE;R FELIPE CORTEZ;1843;;        ;LAGOA NOVA;NATAL;RN;81117;Serviços combinados para apoio a edifícios, exceto condomínios prediais;2305;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Rua Felipe Cortez, 1843 - Lagoa Nova, Natal - RN, 59056-150, Brazil;-5.8203757;-35.2035553
07783832000170;2005-12-29;DANIELLE@CRIART-CE.COM.BR;85  32579676 85  38784189;CRIART SERVICOS DE TERCEIRIZACAO DE MAO DE OBRA LTDA;CRIART SERVICOS;R TIBURCIO CAVALCANTE;2850;;        ;DIONISIO TORRES;FORTALEZA;CE;78302;Fornecimento e gestão de recursos humanos para terceiros;2062;Sociedade Empresária Limitada;R. Tibúrcio Cavalcante, 2850 - Dionísio Torres, Fortaleza - CE, 60125-101, Brazil;-3.7496172;-38.5071361
07783832000170;2005-12-29;DANIELLE@CRIART-CE.COM.BR;85  32579676 85  38784189;CRIART SERVICOS DE TERCEIRIZACAO DE MAO DE OBRA LTDA;CRIART SERVICOS;R TIBURCIO CAVALCANTE;2850;;        ;DIONISIO TORRES;FORTALEZA;CE;78302;Fornecimento e gestão de recursos humanos para terceiros;2062;Sociedade Empresária Limitada;R. Tibúrcio Cavalcante, 2850 - Dionísio Torres, Fortaleza - CE, 60125-101, Brazil;-3.7496172;-38.5071361
04999366000177;2002-04-15;AMANDO@LOCAINFORN.COM.BR;84  32237303 084 2060999;AM SERVICOS E LOCACAO DE EQUIPAMENTOS DE INFORMATICA EIRELI;LOCAINFORN;R DR HORACIO;596;;        ;LAGOA NOVA;NATAL;RN;77331;Aluguel de máquinas e equipamentos para escritório;2305;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);R. Dr. Horácio, 596 - Lagoa Nova, Natal - RN, 59054-640, Brazil;-5.813624900000001;-35.2153497
05617497000105;2003-04-28;ivanpfsobrinho@hotmail.com;84  32315091 84  32175036;DIRECTCOM INFORMATICA LTDA;WSO TECNOLOGIA E ENERGIAS RENOVAVEIS;R JORNALISTA DJAIR DANTAS PEREIRA DE MACEDO;1382;A;        ;LAGOA SECA;NATAL;RN;77331;Aluguel de máquinas e equipamentos para escritório;2062;Sociedade Empresária Limitada;Rua Djair Dantas Pereira de Macedo, 1382 - Lagoa Seca, Natal - RN, 59022-370, Brazil;-5.8098215;-35.2079992
08428765000139;1970-06-26;; ;LIGA NORTE RIOGRANDENSE CONTRA O CANCER;LIGA NORTE RIOGRANDENSE CONTRA O CANCER;AV MIGUEL CASTRO;1355;;        ;DIX-SEPT ROSADO;NATAL;RN;86101;Atividades de atendimento hospitalar;3999;Associação Privada;Av. Miguel Castro, 1355 - Lagoa Nova, Natal - RN, 59054-145, Brazil;-5.815464299999999;-35.228412
70307442000160;1994-10-17;; ;GESUALDO BIANA;METAS MECANICA TECNICA DE ASSISTENCIA;R PRAIA DE CARAUBAS;8828;CONJ PONTA NEGRA;        ;PONTA NEGRA;NATAL;RN;00000;Sem informação;2135;Empresário (Individual);Rua Praia de Caraúbas, 8828 - Ponta Negra, Natal - RN, 59094-210, Brazil;-5.871026;-35.187403
04999366000177;2002-04-15;AMANDO@LOCAINFORN.COM.BR;84  32237303 084 2060999;AM SERVICOS E LOCACAO DE EQUIPAMENTOS DE INFORMATICA EIRELI;LOCAINFORN;R DR HORACIO;596;;        ;LAGOA NOVA;NATAL;RN;77331;Aluguel de máquinas e equipamentos para escritório;2305;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);R. Dr. Horácio, 596 - Lagoa Nova, Natal - RN, 59054-640, Brazil;-5.813624900000001;-35.2153497
54222401000115;1985-12-02;VILLARTA@VILLARTA.COM.BR;11  33468811 ;ELEVADORES VILLARTA LTDA;ELEVADORES VILLARTA;R DOS ESTUDANTES;382;;        ;LIBERDADE;SÃO PAULO;SP;00000;Sem informação;2062;Sociedade Empresária Limitada;R. dos Estudantes, 382 - Sé, São Paulo - SP, 03216-050, Brazil;-23.5556169;-46.63150659999999
04999366000177;2002-04-15;AMANDO@LOCAINFORN.COM.BR;84  32237303 084 2060999;AM SERVICOS E LOCACAO DE EQUIPAMENTOS DE INFORMATICA EIRELI;LOCAINFORN;R DR HORACIO;596;;        ;LAGOA NOVA;NATAL;RN;77331;Aluguel de máquinas e equipamentos para escritório;2305;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);R. Dr. Horácio, 596 - Lagoa Nova, Natal - RN, 59054-640, Brazil;-5.813624900000001;-35.2153497
06346446000159;2004-05-07;;83  30415558 ;SITECNET INFORMATICA LTDA;TELY;AV SAO PAULO;1205;SALA  A;        ;ESTADOS;JOÃO PESSOA;PB;61108;Telecomunicações por fio;2062;Sociedade Empresária Limitada;Av. São Paulo, 1205 - SALA  A - Estados, João Pessoa - PB, 58088-230, Brazil;-7.117349399999999;-34.856976
09234399000140;2007-11-14;DIRETORIA@CRILAMBIENTAL.COM.BR;83  32223854 ;CRIL EMPREENDIMENTO AMBIENTAL LTDA;CRIL SOLUCOES AMBIENTAIS;ROD PB 321;S/N;KM    2,6;        ;FAZENDA MARABA;BELÉM DO BREJO DO CRUZ;PB;00000;Sem informação;2062;Sociedade Empresária Limitada;Marabá - State of Pará, Brazil;-5.5927124;-50.1832516
09376468000150;1985-12-09;; ;CST CONSTRUCOES E SERVICOS TECNICOS LTDA;;R AGNALDO GURGEL JUNIOR;1920;;        ;CANDELARIA;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;Rua Agnaldo Gurgel Junior, 1920 - Candelária, Natal - RN, 59066-030, Brazil;-5.845609;-35.2207495
04196645000100;2000-06-20;in@in.gov.br;061 3139800 061 3139405;IMPRENSA NACIONAL;IMPRENSA NACIONAL; SIG QUADRA 06 LOTE 800;S/N;;        ;SETOR GRAFICO;BRASÍLIA;DF;84116;Administração pública em geral;1015;Órgão Público do Poder Executivo Federal;SIG Quadra 06 - Lote 800, SIG, Brasília - DF, 70610-460, Brazil;-15.7915588;-47.9133135
20283607000133;2014-02-04;RAPHAELNSP@YAHOO.COM.BR;84  32227006 84  32224418;R. DOIS LIMPA FOSSA E LOCAÇÕES EIRELI -;;R DAS FLORES;S/N;LOTEAMENTO MIRAGEM        036 D 07;        ;ZONA DE EXPANSAO;SÃO JOSÉ DE MIPIBU;RN;00000;Sem informação;2305;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);São José de Mipibu, State of Rio Grande do Norte, Brazil;-6.0742528;-35.2369601
01778387000174;1997-08-04;REFRIOADM.REFRIO@YAHOO.COM;84  32050064 ;A K P DE LIMA;REFRIOTEC AR-CONDICIONADO;R HONORIO RIBEIRO DANTAS;1729;;        ;LAGOA NOVA;NATAL;RN;00000;Sem informação;2135;Empresário (Individual);R. Honório Ribeiro Dantas, 1729 - Lagoa Nova, Natal - RN, 59054-750, Brazil;-5.8145963;-35.2146537
13119632000110;2011-01-17;CONTATO@MAXIMUSGESTAODEMANUTENCAO.COM.BR;84  36454403 62  32876511;MAXIMUS GESTAO DE MANUTENCAO INDUSTRIAL LTDA;MAXIMUS GESTAO DE MANUTENCAO;R PARQUE XINGU;71;;        ;NOVA ESPERANCA;PARNAMIRIM;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;R. Parque Xingu, 71 - Nova Esperança, Parnamirim - RN, 59144-132, Brazil;-5.941533199999999;-35.2763667
13411847000100;2011-03-24;CELIOPIANO@HOTMAIL.COM;84  99688802 ;JOSE CELIO FERREIRA 13095692404;;R SAO PAULO;136;;        ;ALECRIM;NATAL;RN;00000;Sem informação;2135;Empresário (Individual);R. São Paulo, 136 - Alecrim, Natal - RN, 59032-090, Brazil;-5.8034123;-35.2205887
40432544000147;1992-04-23;ATENDIMENTO.FISCALIZACOES@CLARO.COM.BR;11  43134620 11  55096705;CLARO S.A.;CLARO;R HENRI DUNANT;780;TORRE A E TORRE B;        ;SANTO AMARO;SÃO PAULO;SP;61205;Telecomunicações sem fio;2054;Sociedade Anônima Fechada;R. Henri Dunant, 846 - Santo Amaro, São Paulo - SP, 04709-111, Brazil;-23.6273834;-46.699121
21949552000110;2015-02-27;WILTON_SM@HOTMAIL.COM;84  99977871 84  36082311;W DA S MOREIRA ENGENHARIA EIRELI;REALIZA ENGENHARIA;R AGUA MARINHA;230;;        ;LAGOA NOVA;NATAL;RN;00000;Sem informação;2305;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);R. Água M.nha, 230 - Lagoa Nova, Natal - RN, 59076-200, Brazil;-5.830008299999999;-35.2023367
01488023000150;1996-09-17;diskentulhos@uol.com.br;84  32055050 84  32055050;LUNC-TRANSPORTE DE ENTULHOS E LIXO LTDA;DISK ENTULHOS;AV PRESIDENTE RANIERI  MAZZILLI;2850;;        ;FELIPE CAMARAO;NATAL;RN;49302;Transporte rodoviário de carga;2062;Sociedade Empresária Limitada;Av. Pres. Raniere Mazzilli, 2850 - Guarapes, Natal - RN, Brazil;-5.8205711;-35.275729
02863360000142;1998-11-25;contabil@exatacnt.com.br;84  32133285 84  32133285;COSTA & FILHOS RECICLAGEM E GERENCIAMENTO DE RESIDUOS LTDA;ECOBRIT USINA DE RECICLAGEM DA CONSTRUCAO;R PROJETADA;S/N;QUADRA34                  LOTE  1350;        ;GUAJIRU;SÃO GONÇALO DO AMARANTE;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;RUA PROJETADA S/N LOTE 1.350 - GUAJIRU, São Gonçalo do Amarante - RN, 59290-000, Brazil;-5.7547675;-35.3259207
40997140000109;1993-04-22;EZIELITON@EJFEMPREENDIMENTOS.COM.BR;84  32724858 ;E J F EMPREENDIMENTOS LTDA;E. J. F EMPREENDIMENTOS E SERVICOS;R CAMINHO DE PIRAMBUZIOS;45;LOTE  CAMINHO DO MAR;        ;CAJUPIRANGA;PARNAMIRIM;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;R. Caminho de Pirambúzios, 45 - Cajupiranga, Parnamirim - RN, 59157-160, Brazil;-5.9411767;-35.2556682
54484753000149;1985-05-29;TRIBUTOS@BBMAPFRE.COM.BR;11  51112700 11  51128150;MAPFRE VIDA S/A;;AV DAS NACOES UNIDAS;14261;ANDAR 29                        ALA A;        ;VILA GERTRUDES;SÃO PAULO;SP;65111;Seguros de vida;2054;Sociedade Anônima Fechada;Av. das Nações Unidas, 14261 - ANDAR 29 - Vila Gertrudes, São Paulo - SP, 04794-000, Brazil;-23.6237706;-46.7020044
10543201000199;2008-12-18;contabilcg@gmail.com;83  33422861 ;KLINIC ASSISTENCIA TECNICA MEDICA LTDA;KLINIC TECNOLOGIA;AV PROFESSOR ALMEIDA BARRETO;873;;        ;SAO JOSE;CAMPINA GRANDE;PB;00000;Sem informação;2062;Sociedade Empresária Limitada;Av. Prof. Almeida Barreto, 873 - São José, Campina Grande - PB, 58400-328, Brazil;-7.2291124;-35.8919806
09376468000150;1985-12-09;; ;CST CONSTRUCOES E SERVICOS TECNICOS LTDA;;R AGNALDO GURGEL JUNIOR;1920;;        ;CANDELARIA;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;Rua Agnaldo Gurgel Junior, 1920 - Candelária, Natal - RN, 59066-030, Brazil;-5.845609;-35.2207495
20971632000100;2014-03-09;SERVEMAIS.RN@GMAIL.COM;84  33014424 ;SERVEMAIS CONSTRUCOES, TREINAMENTOS E TERCEIRIZACOES EIRELI;SERVEMAIS;AV PRUDENTE DE MORAIS;507;COND  EMP. DJALMA MARINHO SALA  301;        ;TIROL;NATAL;RN;00000;Sem informação;2305;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Condomínio Centro Empres Djalma Marinho - Av. Prudente de Morais, 507 - Tirol, Natal - RN, 59020-900, Brazil;-5.787628199999999;-35.2010238
09376468000150;1985-12-09;; ;CST CONSTRUCOES E SERVICOS TECNICOS LTDA;;R AGNALDO GURGEL JUNIOR;1920;;        ;CANDELARIA;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;Rua Agnaldo Gurgel Junior, 1920 - Candelária, Natal - RN, 59066-030, Brazil;-5.845609;-35.2207495
04751986000192;2001-05-11;fariascaldas@digi.com.br;84  32050059 84  36051880;F DOIS ENGENHARIA LTDA;;R CR. MUCIO GALVAO;426;SALA  01;        ;BARRO VERMELHO;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;R. Dr. Múcio Galvão, 426 - 01 - Barro Vermelho, Natal - RN, 59022-530, Brazil;-5.8030346;-35.2058524
04751986000192;2001-05-11;fariascaldas@digi.com.br;84  32050059 84  36051880;F DOIS ENGENHARIA LTDA;;R CR. MUCIO GALVAO;426;SALA  01;        ;BARRO VERMELHO;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;R. Dr. Múcio Galvão, 426 - 01 - Barro Vermelho, Natal - RN, 59022-530, Brazil;-5.8030346;-35.2058524
04751986000192;2001-05-11;fariascaldas@digi.com.br;84  32050059 84  36051880;F DOIS ENGENHARIA LTDA;;R CR. MUCIO GALVAO;426;SALA  01;        ;BARRO VERMELHO;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;R. Dr. Múcio Galvão, 426 - 01 - Barro Vermelho, Natal - RN, 59022-530, Brazil;-5.8030346;-35.2058524
05052764000144;2002-05-16;CONTATO@CONSTRUTORAGS.COM;84  32062495 ;CONSTRUTORA GURGEL SOARES LTDA;R & R CONSTRUCOES;R DESEMBARGADOR HEMETERIO FERNANDES;1008;;        ;TIROL;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;R. Des. Hemetério Fernandes, 1008 - Tirol, Natal - RN, 59015-110, Brazil;-5.7996593;-35.19962510000001
09376468000150;1985-12-09;; ;CST CONSTRUCOES E SERVICOS TECNICOS LTDA;;R AGNALDO GURGEL JUNIOR;1920;;        ;CANDELARIA;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;Rua Agnaldo Gurgel Junior, 1920 - Candelária, Natal - RN, 59066-030, Brazil;-5.845609;-35.2207495
61797924000236;2002-09-30;gabriele.greco@hp.com;11  41974963 11  41974996;HEWLETT-PACKARD BRASIL LTDA;;AL RIO NEGRO;750;TERREO                    SALA  RIO DE JANEIRO;        ;ALPHAVILLE INDUSTRIAL;BARUERI;SP;62091;Suporte técnico, manutenção e outros serviços em tecnologia da informação;2062;Sociedade Empresária Limitada;Alameda Rio Negro, 750 - Alphaville, Barueri - SP, 06454-000, Brazil;-23.4991163;-46.8471278
09376468000150;1985-12-09;; ;CST CONSTRUCOES E SERVICOS TECNICOS LTDA;;R AGNALDO GURGEL JUNIOR;1920;;        ;CANDELARIA;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;Rua Agnaldo Gurgel Junior, 1920 - Candelária, Natal - RN, 59066-030, Brazil;-5.845609;-35.2207495
40869463000109;1992-10-01;CONTABILIDADE@ESSEENG.COM.BR;81  32026666 81  32026667;ESSE ENGENHARIA SINALIZACAO E SERVICOS ESPECIAIS LTDA;;R PADRE CARAPUCEIRO;910;SALA 1701 EMPRES          TORRE ACACIO GIL;        ;BOA VIAGEM;RECIFE;PE;32990;Fabricação de produtos diversos não especificados anteriormente;2062;Sociedade Empresária Limitada;R. Padre Carapuceiro, 910 - Boa Viagem, Recife - PE, 51020-280, Brazil;-8.1162329;-34.9031675
20757012000172;2014-01-08;ECCONTABILIDADE@HOTMAIL.COM;84  32183352 84  88135706;NORMA ENGENHARIA SERVICOS ELETRICOS LTDA;NORMA ENGENHARIA;R MARIA DOLORES COSTA;95;LOJA  6;        ;NOVA PARNAMIRIM;PARNAMIRIM;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;R. Maria Dolores Costa, 95 - 6 - Nova Parnamirim, Parnamirim - RN, 59150-510, Brazil;-5.875234799999999;-35.220548
09376468000150;1985-12-09;; ;CST CONSTRUCOES E SERVICOS TECNICOS LTDA;;R AGNALDO GURGEL JUNIOR;1920;;        ;CANDELARIA;NATAL;RN;00000;Sem informação;2062;Sociedade Empresária Limitada;Rua Agnaldo Gurgel Junior, 1920 - Candelária, Natal - RN, 59066-030, Brazil;-5.845609;-35.2207495
